,video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,comment_count
21,cF-vKhc--1M,مقطع الفيس كام ,2022-11-29T10:31:23Z,UCh7rXgsIWJXWuPveUlJ6aRg,ميف  Meev,News & Politics,22.01.12,none,221286,36974,4367
22,55XJ1ObZKaM,Billie Eilish Same Interview The Sixth Year  Vanity Fair,2022-11-28T20:00:03Z,UCIsbLox_y9dCIMLd8tdC6qg,Vanity Fair,Entertainment,22.01.12,billie|billie 6|billie eilish|billie eilish 2022|billie eilish 6|billie eilish interview|billie eilish same interview|billie eilish sixth year|billie eilish trailer|billie eilish vanity fair|billie eilish vanity fair interview|billie eilish year 6|billie interview|billie same interview|billie trailer|billie vanity fair|eilish|same interview|time capsule|vanity fair|vanity fair billie|vanity fair billie eilish|year 6|year six,4955251,344637,13036
23,93KmHm4ggPo,الكورة مع السلامة  الحلقة الأولى  البرازيل ,2022-11-26T18:07:45Z,UCqW7G8SmyeEeQYzLOk5tdSg,Da7ee7  الدحيح,Science & Technology,22.01.12,الدحيح|حلقة الدحيح|برنامج الدحيح الجديد|برنامج الدحيح|daheeh|eldahih|elda7ee7|eldaheeh|دحيح|الدحيح |da7ee7|احمد غندور الدحيح|daheeh الدحيح|كأس العالم|قطر|fifa world cup 2022|البرازيل|فيديوهات كأس العالم|فيديوهات كأس العلم 2022,1216118,101614,3113
24,tPc8nEQu46o,اجمل يوم بحياتي في بغداد من قطر,2022-11-28T13:27:10Z,UChOPyo-uWLVi5uO53mSBX-w,Noor Stars,Entertainment,22.01.12,قصص نور ستارز|noorstars|noorstars21|نورستارز|nor star|نور استارز|nour star|قناة نور ستارز|نور ستارز لو خيروك|noor star|نور|نور ستار|noor stars|نور ستارز|ستارز|ستار|لو خيروك نور ستارز|نور ستارز مقلب|لو خيروك|نور ستارز قصص|noorstars21 لو خيروك|noorstars21 مقلب|noor stars لو خيروك|banen stars|بنين ستارز|بنين ونور|نور وبنين|نور وبنين ستارز|Qamar|Qatar doha|saudi arabia|Qatar|قطر|السعودية|الدوحة|قمر|ابوفله,551656,43387,1760
25,mPL0B46eA10,Georges Wassouf  Byetkallem Aalaya Official Music Video 2022  جورج وسوف  بيتكلم عليا,2022-11-26T15:00:10Z,UCRpVH-l7I3j1bZHcrW1c-dg,Georges Wassouf,Music,22.01.12,George wassouf|جورج وسوف|ابو وديع|abo wadi3|sultan al tarab|سلطان الطرب|wassouf|وسوف|arabic|arabic songs|اغاني عربية|superwassouf|georges wassouf|george|georges wasoof|وصوف|Georges Wassouf  Byetkallem Aalaya Coming Soon  جورج وسوف  بيتكلم عليا قريبا|Byetkallem Aalaya|بيتكلم عليا|جورج وسوف بيتكلم عليا|Georges Wassouf Byetkallem Aalaya|georges wassouf 2022|georges wassouf music|اغاني جورج وسوف|byitkallam 3alaya|byitkalem 3alaya|byitkallam aalaya,1884020,66016,4104
26,QKL7UmvZ7Ms,كبرت عيلتنا  اخيرا اتقدم لها ,2022-11-28T15:45:39Z,UCGsO2WD0ub_IIgnazwZ-AnA,Ziad  Sara زياد و سارة,People & Blogs,22.01.12,ziad Sara|Sara ziad|sara|ziad|زياد و سارة|سارة|ساره|زياد|زياد ابو شعر|سارة ملص|دبي|الامارات|السعودية|جدة|قطر|الرياض|خطب|خاطب|عرس|اتقدم لها|فراس|اتزوج|اخيرا اتقدم لها,664767,43500,1174
27,0vFPgCEshi0,اخيرا خطبت ,2022-11-28T15:44:18Z,UCH_TH3kxVEwHZ_t0fG4iCGQ,Feras Abo Shaar فراس ابوشعر,Entertainment,22.01.12,فراس ابوشعر|دبي|تحديات|زياد و سارة|لين ابوشعر|كريم ديب|غيث مروان|ضحك|ممتع|مقلب|جمال|حفلة|ماشيه بالحب|كوميديا|دولار|مضحك|صدمة|اليوتوبرز|جواز|متزوجين|تضاربوا|صراحة|اغرب المقاطع المريحة للاعصاب|تحديات المشاهير|اخترت الزوجة المناسبة لكل يوتيوبر |اغرب المقاطع في العالم|اغرب المواقف|نور ستارز|ردود افعال|اصالة مالح|مقالب مضحكة|نارين بيوتي|مقالب خطيرة|اغرب المقاطع|باري تيوب|احسن مقاطع|تحدي البيض|تحدي الضحك|كلبشات|يوم كامل|موعد غرامي|مضاربة|سفر|مالطا,615100,38876,1348
28,1OQR1KlgmzQ,المغرب إلى نصف نهائي كأس العالم  ,2022-11-28T15:45:57Z,UCxUPU7lI249SW_j5WgByJRA,محمد عدنان Mohamad Adnan,Sports,22.01.12,محمد عدنان|mohamed adnan|mohamad adnan|كاس العالم|المغرب بلجيكا|تونس|world cup|استراليا|كاس العالم قطر|المساكني|معلول|علي|argentina|brazil|spain|بلجيكا|الدنمارك|المنتخب السعودي|السعودية|ميسي|رونالدو|مبابي|فرنسا|هدف|ملخص|تحليل|مباراة|نيمار|اهداف|قطر|منتخب|قطر السنغال|البرتغال غانا|كريستيانو رونالدو|Saudi Arabia|Highlights|السعودية بولندا|بيدري|Vinicius|France|اشرفحكيمي|حكيمزياش|كرواتيا|كريستيانو|كوريا|سواريز|كافاني|الارجنتين|لوكاكو|اليابان|الدوسري|بولندا|سالم|ايريكسين,2054067,352081,7502
29,31Dse2dquSw,نطيت من فوق طيارة مرعب جدا  تحدي ال ٢ مليون,2022-11-28T19:07:22Z,UCk0XvmcUD1_LAZ5u66Xgc9w,Ana Beeko,Entertainment,22.01.12,none,352849,26631,1837
30,H4-PYsQnVr4,قطر تهدد بمراجعة استثماراتها في لندن بعد حظر الإعلانات,2022-11-28T18:03:38Z,UCelk6aHijZq-GJBBB9YpReA,BBC News عربي,News & Politics,22.01.12,بي بي سي|قطر|الدوحة|كأس العالم|لندن|عمدة لندن|الاستثمارات القطرية|الصندوق السيادي القطري|مونديال قطر|مونديال 2022|كأس العالم 2022,758695,10217,1529
