,video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,comment_count
63,FepA1wLCWV0,য কন সময় পলব হসন  eliashossain  15minutes   bangla_news_channel,2022-11-30T07:56:02Z,UClURnTgQiQpldGhtD4Fc7JQ,Elias Hossain,News & Politics,22.01.12,elias hossain|15 minutes|hasina|islami bank|jamat islam|bangla news channel,460924,40635,4274
64,eyy5mqOj-Lc,大湾仔的夜2第1期 完整版大湾仔花式探店趣事不断陈小春吴卓羲初担主厨大任状况百出 Night in the Greater Bay S2 EP1丨HunanTV,2022-11-17T12:00:07Z,UC1pHFqCMAIHP8gr4lYGtNLA,湖南卫视芒果TV官方频道  China HunanTV Official Channel,Entertainment,22.01.12,湖南卫视大湾仔的夜2|MangoTV 大湾仔的夜2|大湾仔的夜2定档|Dawanzaideye|大湾仔的夜 2 线上看|night in the greater bay season 2|大湾仔的夜2首播|Night in the Greater Bay Season 2|大湾仔的夜第二季|大湾仔的夜 第二季|大湾仔的夜第2季|Night in the Greater Bay Season 2 EP1|大湾仔的夜2 第1期|大湾仔的夜完整版|大湾仔的夜|大湾仔的夜2 EP1|陳小春|大灣仔|大灣仔的夜2|大湾仔的夜2先导片|da wan zai de ye 2|da wan zai de ye|大湾仔的夜2|大湾仔直播|大湾仔|大湾仔的夜1|大湾仔的夜 2|大湾仔的夜 未播|陈小春|night in the greater bay|周柏豪|披荆斩棘|披荆斩棘2|call me by fire season 2|吳卓羲|Call Me By Fire|张智霖|張智霖|披荆斩棘的哥哥|林峯|谢天华|謝天華|林晓峰|林曉峰,484976,3315,406
65,ijjGqwdXa1c,Its me Benjamin  joining the TSAntiHeroChallenge brought to you by YouTube Shorts,2022-11-11T17:04:21Z,UCqECaJ8Gagnn7YCbPEzWH6g,Taylor Swift,Music,22.01.12,none,46479148,2560150,9638
66,Fs6laSDvQFQ,頭條開講拜登痛罵美國人懶惰又貪婪全球都叫好拜登得了伊朗委屈症終於在足球上一吐怨氣美頁岩油氣商大吃歐盟血饅頭甩脫負債陰影了20221130完整版HeadlinesTalk,2022-11-30T14:09:24Z,UCdp5pYDJCpl5WFk3jFEjWHw,頭條開講,News & Politics,22.01.12,世界杯|伊朗|美國|民主峰會|四大洲|鐵路|罷工|懶惰|貪婪|馬克宏|拜登|訪問|法國|天然氣|頁岩氣|南韓|中國|轟炸機|俄羅斯|中俄|聯合巡航|尹錫悅|日本海|軍力報告|SWIFT|洗新|白紙|運動|江澤民|九合一|中線|民進黨|兵役|騙票|班班吃石斑|邱彰信|邱議瑩|中常會|蔡英文|館長|網軍|側翼|鐘擺效應|小笠原|侯友宜|郭台銘|國民黨|內鬥|朱立倫,156715,15965,161
67,-YrOEmbwe_s,Yonimoshorts shorts,2022-10-28T12:30:00Z,UCmrfD0X_7eRDoHqOKakbREQ,Elephant Movie,Film & Animation,22.01.12,film|movie|films|shorts|Elephant Movie|watch Elephant Movie|Elephant Movie youtube|short films|english movie|movies|free short film|best scenes|movie clips|best moments|science fiction|free scifi short|sci fi shorts|scifi|action|best action movies|action movie|action movies|feature|Yonimo|fantasy,12629408,1047522,1148
68,zuVV9Y55gvc,Ranjithame  Varisu Lyric Song Tamil  Thalapathy Vijay  Rashmika  Vamshi Paidipally  Thaman S,2022-11-05T12:00:42Z,UCq-Fj5jknLsUf-MWSy4_brA,TSeries,Music,22.01.12,hindi songs 2022|hindi songs new|bollywood songs 2022|bollywood movies 2022|tseries|tseries songs|hindi songs|bollywood romantic songs|romantic hindi songs|bollywood dance songs|Ranjithame Lyrical|Varisu|Thalapathy Vijay Singing|Thalapathy Vijay Song|Thalapathy Vijay Dance Number|Thalapathy Vijay Ranjithame|Thalapathy Vijay Varisu|Thalapathy Vijay|Vivek|Thaman S|Varisu Lyric Song Tamil|Ranjithame Lyric Song|Ranjithame Video Song|Ranjithame|Tamil Song,75889788,2023391,91317
69,xktdFsBcUQY,Neymar made that look TOO EASY ,2022-11-17T13:15:03Z,UC6c1z7bA__85CIWZ_jpCK-Q,ESPN FC,Sports,22.01.12,espn fc|soccer on espn|espn soccer|ESPNFC|ESPNFC|ESPN FC|espn fc tv|soccer|futbol|Neymar made that look TOO EASY |neymar|neymar jr|espn fc shorts|espnfc shorts|shorts|shortsvideo|world cup|world cup 2022,25210999,1248991,3494
70,3tVTBNXqDPM,一念永恒 第74集 蓝光,2022-11-30T01:54:46Z,UCvyXRDvh-G3WmOLPIMb_idQ,動漫小子 Animation,People & Blogs,22.01.12,动漫|漫画|国漫|玄幻|修仙|修真|小说|网文|热血|动画|战斗|奇幻|3D|3D动漫|中国动画|萧炎|斗破苍穹|完美世界|星辰变,73920,970,123
71,xeIoezR_o5s,China Covid protests police turn out in force to tackle white paper movement,2022-11-28T19:44:16Z,UCTrQ7HXWRRxr7OsOtodr2_w,Channel 4 News,News & Politics,22.01.12,china|coronavirus|covid19|pandemic|iphone factory|Zhengzhou|Jungjo|foxconn|zero covid|china lockdown|china pandemic|covid cases|virus|lockdown|channel 4 news|c4news|xi jinping|xi covid|xi china|china news|china covid latest|china covid update|china covid explained,581810,5729,3114
72,1CSU-LZFXvQ,Can you pass this test ,2022-11-22T00:11:23Z,UC3IjgjgWtpLTCrR0shGXKVg,SeanDoesMagic,Entertainment,22.01.12,none,3993114,339851,1596
73,namTctN9XjY,lunch,2022-11-11T14:33:21Z,UCnmGIkw-KdI0W5siakKPKog,Ryan Trahan,Entertainment,22.01.12,Ryan|Trahan,20246264,1758963,3485
74,6v4u4-JcHDA,小马花800看小姐姐跳舞还说我没她跳的好看莫忧忧,2022-11-30T10:00:05Z,UChOFoQM5RgNdGqTf5LIGoqw,莫忧忧,Comedy,22.01.12,莫忧忧|美女老板|生活短剧|情感短剧|生活记录|vlog|美女老闆|莫憂憂|小馬的莫老闆|男閨蜜,68862,1236,30
