trending_no,video_id,title,publishedat,channelid,channeltitle,categoryid,trending_date,tags,view_count,likes,comment_count
85,W288mZPR6oM,Gempa Cianjur Ancaman Gempa Jakarta dan Megathrust Magnitudo 89,2022-11-22,UCovqoUzPm9_s6mMt9OiWKpA,Harian Kompas,News & Politics,22.30.11,Video|Video Berita|Harian Kompas|News|Aktual|Terkini|Terbaru|gempa cianjur|cianjur|jawa barat|jakarta|gempa jakarta|megathrust|tsunami|bencana alam|gempa cianjur tadi siang|gempa cianjur hari 21 november 2022|gempa cianjur hari live|gempa cianjur baru saja|gempa cianjur hari cctv|gempa cianjur rumah lesti|gempa cianjur detik detik|gempa cianjur live|gempa cianjur hari bmkg|gempa cianjur cugenang,1508972,7150,2136
194,dMxP6-a39_Q,penjinak binatang yang bertemu gadis bertelinga hewan  episode 07 takarir indonesia,2022-11-12,UCxxnxya_32jcKj4yN1_kD7A,muse indonesia,Film & Animation,22.29.11,beasttamerbeastkemonokomediromansaanimemusedirumahajahewankucingnagaperi,416612,12244,816
86,GJHX1iGoSZo,PUBG MOBILE x LIONEL MESSI  Unleash Your Roar  Collaboration Trailer,2022-11-19,UCKuBf7CRNf4OYoDyTtAL5fg,PUBG MOBILE,Gaming,22.30.11,PUBGM|PUBG MOBILE|PUBGMOBILE|battle royale|Tencent Games|PlayerUnknowns Battlegrounds|Winner Winner Chicken Dinner|FreetoPlay|LIONELMESSI PUBGMxMESSI|PUBGM Messi Update|PUBG MOBILE Football Update|PUBGM Soccer update|PUBG MOBILE Messi football mania,11039442,1363,107
87,ZRjb7xWUzHc,안방1열 직캠4K 시크릿넘버 디타 TAP SECRET NUMBER DITA FanCam SBS Inkigayo 221120,2022-11-21,UCM3jwNRfl5-W8VzgT6DsaEQ,스브스케이팝 ZOOM,People & Blogs,22.30.11,Inkigayo|인기가요직캠|안방1열직캠|스브스케이팝|스브스|직캠|인기가요|인가|음방|음악방송|스브스케이팝 줌|시크릿넘버|SECRET NUMBER|TAP|시크릿넘버 컴백|시크릿넘버 직캠|시크릿넘버 페이스캠|시크릿넘버 인가|시크릿넘버 인기가요|시크릿넘버 음방|시크릿넘버 무대|시크릿넘버 신곡|시크릿넘버 안무|바인엔터테인먼트|진희|레아|수담|디타|데니스|민지|주|LÉA|DITA|JINNY|MINJI|SOODAM|ZUU,235455,21421,1408
88,UuohN8WW32U,GAK BOLEH CACAT SEDIKITPUN BEGINI KETATNYA PROSES EKSPOR IMPOR MOBIL DI IPCC,2022-11-19,UCyxFLIrNfV8B3cN4KgQL6sA,Fitra Eri,Autos & Vehicles,22.30.11,none,1530514,25446,1591
89,ozbUuZ5pyuQ,Presiden Jokowi Temui Pengungsi Korban Gempa di Cianjur 22 November 2022,2022-11-22,UC_m_NBgf7ieJBHzb6vvJC5A,Sekretariat Presiden,News & Politics,22.30.11,none,668984,9794,2287
90,duDW4W4ulfU,Dateng ke Qatar buat nonton OPENING PIALA DUNIA 2022,2022-11-21,UC1dI4tO13ApuSX0QeX8pHng,GadgetIn,Science & Technology,22.30.11,none,2691718,64652,6341
91,IzngGFgxWQA,Lala Widy Ft Vita Alvia  Care Bebek Official MV Ngude beli liu munyi,2022-11-19,UCEa5arMfQcOrmHGwh2cVbHw,ARD Management,Music,22.30.11,lala widy|lala widi|lala widy feat vita alvia|care bebek|vita alvia|vita alvia terbaru|ard management|ard management full album|care bebek remix|cara bebek dj|care bebek karaoke|care bebek dj|care bebek tiktok|cara bebek lirik jegeg bulan|jegeg bulan cara bebek tiktok|care bebek cover|cari bebek jegeg bulan lirik|cari bebek lirik|cari bebek jedag jedug|cari bebek tiktok,1027466,11833,803
92,9yQVWPlUGBE,NOAH  Khayalan Tingkat Tinggi Official Music Video,2022-11-18,UCXWOf2fdWef8tbv1X27JHzw,NOAH OFFICIAL,Music,22.30.11,noah official|video terbaru noah|noah|lagu hits noah|ariel noah|noah khayalan tingkat tinggi|khayalan tingkat tinggi|video terbaru noah second chance|peterpah khayalan tingkat tinggi|lagu hits noah khayalan tingkat tinggi|full album noah|noah full album|full album noah second chance|khayalan tingkat tinggi peterpan,2763782,125883,18084
93,HB1l76mx-3A,Ngidam Bu Siko Makan Bakso Setan HORORKOMEDI  Kartun Lucu Kartun Hantu Animasi Horor,2022-11-19,UC7GWXKxiy9_AU9TytEh00eg,Rizky Riplay,Film & Animation,22.30.11,hantu|kartun hantu|kartun lucu|kartun hantu lucu|hantu lucu|kartun|animasi hantu|rizky riplay|rizky|animasi indonesia|kartun setan|setan lucu|animasi lucu|hantu kartun lucu|hantu kartun|animasi horror|animasi horor lucu|bakso setan|bakso setan kartun|bakso hantu|bakso pocong|bakso kartun|abang bakso pocong|baso hantu|baso setan|abang tukang bakso|hantu makan bakso|bu siko|bu siko vs bakso setan|makan bakso|makan bakso setan,692628,15255,1774
94,ht-Hw-SvfyE,Sabyan Ft Ali Abdulqodir Alaydrus  Ya Habibana Ali,2022-11-19,UCeZA77FZSG4YzBcvBJ9eynA,SABYAN,Music,22.30.11,nissa|sabyan|nissa sabyan|sabyan gambus|official|channel|lagu sabyan|lagu|sabyan full|album sabyan|gambus sabyan|lagu nissa sabyan|sabyan full album|sabyan lirik|ya maulana|sabyan terbaru|sabyan 2019|ya habibana ali|habib novel alaydrus|raudhah|masjid riyadh|haul solo|haul solo 2022|habib ali solo,508873,22658,1328
95,o5F8MOz_IDw,Avatar The Way of Water  New Trailer,2022-11-22,UCgjxQJ6TlKqhHax8742ZMdA,Avatar,Entertainment,22.30.11,none,11275991,292453,11673
96,InIs7u9bcvM,BREAKING NEWS  Ini Detik  Detik Gempa Guncang Cianjur,2022-11-22,UCzl0OrB3-ehunyotIQvK77A,metrotvnews,News & Politics,22.30.11,metrotvnews|medcomid|berita viral|berita terkini|berita hari ini|berita update|metrotv|portal berita|berita|news channel|berita video|berita dunia|headline news|news word|metro global network,497165,1620,213
97,ehtuB639uB8,S02E16 FINAL TWK Kampus Indonesia dengan Wawasan Terbaik Adalah  Tes Wawasan Kebangsaan,2022-11-20,UCzI8ArgVBHXN3lSz-dI0yRw,Narasi,Entertainment,22.30.11,narasi|Narasi Original|Narasi Signature|Tes Wawasan Kebangsaan|Final|IPDN|UIN|Jadi Paham,744133,28247,3042
98,KDMPwjNSkcg,127AM Pajama Night in NYC ,2022-11-19,UCk2E0dbAyEJWnrN2bbQOcbg,NCT 127,Music,22.30.11,NCT 127|NCT|NYC|NCT 127 NYC|PAJAMA PARTY|SANRIO|SPAO|산리오 잠옷|산리오|뉴욕|엔시티|엔시티 127|TAEIL|JOHNNY|TAEYONG|DOYOUNG|JAEHYUN|JUNGWOO|MARK|HAECHAN|YUTA|태일|쟈니|태용|도영|재현|정우|마크|해찬|유타,969548,85458,1863
99,3_UMDJaJnlc,PENANTIAN MOBIL IMPIAN RYZEN NUNGGU HAMPIR 2 TAHUN  RyzenVlog,2022-11-19,UCq7OyQuEX3kBmCgnpRHXCNA,Ryzen Gaming,Gaming,22.30.11,PUBG INDO|YOUTUBER GAMING INDO|PUBG MOBILE|PUBG MOBILE INDO|PUBG NGAKAK|PUBG MOBILE INDONESIA|PUBG KOCAK NGAKAK|PUBG FUNNY MOMMENT|PUBG INDONESIA|pubg mobile vikendi|pubg mobile alex|pubg mobile map baru|btr ryzen|ryzen gaming|bigetron dubai|btr zuxxy|zuxxy gaming|btr luxxy|luxxy gaming|btr microboy|micoboy gaming|ej gaming|pmpl|pmwl|bennymoza|bang alex|entruv|pro player|bigetron|btr ra,1027109,28984,1016
100,ohRZwOSkDss,FREE FIRE JADI SERU  DUO KUAT MENCOBA UPDATE TERBARU  feat LetDa Hyper,2022-11-20,UCW6fcXU68QShoXPkxnPxATw,FrontaL Gaming,Gaming,22.30.11,none,390441,18249,1095
101,Nqu46umgJpw,SASYA ARKHISNA  MANGKU PUREL  OFFICIAL LIVE MUSIC ,2022-11-18,UCcrFXRWeWnxptBWhILRmbnA,Sasya Arkhisna Official,Music,22.30.11,Sasya|Sasha|Sasya Arkhisna|Full Album Sasya Arkhisna|Sasya Arkhisna Terbaru|mangku purel|sasha arkhisna|sasha mangku purel|adella|sasya arkhisna mangku purel|mangku purel sasya arkhisna,1070389,12097,1228
102,ADuAV_JGVP4,Review Skin Lesley Starlight Fest 2022 Efeknya Petirnya Bikin Kejang Coy  Mobile Legends,2022-11-21,UCmtAg_U0wvmWdxTlceISdEw,Jonathan Liandi,Gaming,22.30.11,MOBILELEGENDS|MOBILELEGENDSINDONESIA|MLBB|MLBBINDONESIA|JONATHANLIANDI|EMPEROR|GUSIONEMPEROR|EMPERORMOBILELEGENDS|JONATHANSHERLA|VLOGJONATHANLIANDI|FUNNYMOMENTEMPEROR|EMPETALK|EMPETOUR|EMPERORDIPRANK|EMPERORNGETROLL|PRANKJO|TROLLJO|REACTIONJONATHANLIANDI|EMPEDU|KANGFREESTYLE|DUTAMYANMAR|JOKETEMUMYANMAR|YANGPENTINGFREESTYLEDULUBOSS|YOUTUBEJONATHAN|EVOSEMPEROR|EMPACTION|REVIEWSKIN|GACHASKINMOBILELEGENDS|JOSHERLA|JOHONEYMOON|GAMEPLAYLESLEY|TOPGLOBALLESLEY|SUPREMELESLEY|LESLEYSTARLIGHTFEST,648049,15190,1101
103,zgD-R7IXYjQ,MANGKU PUREL  Shepin Misa ft Lala Widy Official Music Video ANEKA SAFARI,2022-11-19,UCmB1_agPlXbbwTCPKEuwEKA,Aneka Safari Records,Music,22.30.11,aneka|safari|records|aneka safari records|ytccon|mangku purel dj|mangku purel koplo|mangku purel adella|mangku purel mukidi|mangku purel lirik|lala widy mangku purel|lala widi feat shepin misa|sephin misa mangku purel|shepin misa|shepin misa terbaru|shepin misa terbaru 2022|shepin misa live|lala widy live|lala widi terbaru 2022|aneka music|aneka musik full album terbaru 2022|aneka musik|mangku purel sephin misa|mangku purel sephin misa ft lala widy,595337,4371,389
183,uWrhlvklOUs,Mangku Purel  Lala Widy Official Live Music,2022-11-12,UCcSVA15A6UNouOvHsixy1ng,PERDANA RECORD,Music,22.30.11,gedang klutuk|efek gedang klutuk|joko tingkir ngombe dawet|dermaga biru|gedang klutuk koplo|tiara|benang biru|runtah|tasya rosmala|dua kursi|Mangku Purel  Lala Widy Official Live Music|lala widy|mangku purel|lala widy joko tingkir|mangku purel adella,801355,6079,1864
104,3DGztcamZWA,The BEST MOMENTS in World Cup opening ceremonies ,2022-11-19,UCpcTrCXblq78GZrTUTLWeBw,FIFA,Sports,22.30.11,Football|FIFA|official|Soccer|Futbol|Futebol|Fußball|Fussball|Calcio|Voetbal|كرة فوتبول|गल|वरलड कप|सकलस|फटबल|Gol|Piala Dunia|Mendribel Bola|Keterampilan|ไดประต|ชงแชมปโลก|ฟตบอล|ทกษะ|كأس العرب|Qatar|دولة قطر|world cup Qatar 2022|2022 world cup|fifatv|watch arab cup|هدف,17412531,236678,5578
105,WWzQkyrA5-Y,MOMENT LANGKA DI SURPRISE ULTAH ATTA HALILINTAR,2022-11-21,UCfRNJiafEm1LBBGFTTq4cXw,GEN HALILINTAR,Entertainment,22.30.11,genhalilintar|family|11kids|unique|halilintar|gen|baby|mom|dad,147369,7289,231
106,YuTtrmv87Hk,ATE MATERINYA JULID BANGET TAPI BIKIN NAGIH  Tonight Show Premiere,2022-11-20,UCLojthXNTLMGp6XSp4wgPRw,TonightShowNet,Entertainment,22.30.11,vincent|desta|hesti purwadinata|enzy storia|my own music|epe|tonight show terbaru|tonight show terlucu|tonight show|tns|tonight show net|vindest|ate|komika|stand up comedy|suca|suci|tns premiere|tonight show premiere,995072,19043,729
107,zUtWMVhwiRU, Cara Nonton Piala Dunia 2022 Streaming di HP Android  iPhone  Laptop dll,2022-11-19,UCMbj5wPCBvGALjVnsWKcrIA,Kepoin Tekno,Science & Technology,22.30.11,Kepoin Tekno|Techtips|cara streaming piala dunia|cara live streaming piala dunia 2022|cara nonton piala dunia 2022|cara nonton piala dunia lewat internet|cara nonton piala dunia di laptop|cara nonton streaming piala dunia|cara streaming piala dunia 2022|cara nonton piala dunia di hape|cara nonton piala dunia di hp|cara nonton piala dunia di tablet|cara nonton piala dunia di tv,396245,1832,235
108,oH4eGQta3jY,APAKAH KALIAN JOMBLO KARENA INI JUGA,2022-11-20,UCFQoE23adk7NSPNhBlanu4w,Hirotada Radifan,Entertainment,22.30.11,none,935640,47513,2788
109,7Dyv6Hs-Rvs,Farel Prayoga  AYANG Official Music Video ANEKA SAFARI,2022-11-21,UCmB1_agPlXbbwTCPKEuwEKA,Aneka Safari Records,Music,22.30.11,aneka|safari|records|aneka safari records|ytccon|safari records|dangdut|dangdut koplo|lagu dangdut terbaru|farel|farel prayoga|farel prayoga full album terbaru 2022|farel prayoga remix|farel prayoga ayang|farel prayoga aneka safari|ayang nabila lirik|ayang nabila|ayang karaoke|ayang|ayang farel prayoga|kompilasi farel prayoga|lekaslah kembali kecup keningku|aneka music|aneka musik farel prayoga|peluklah tubuhku kecup keningku,517658,13591,2180
