trending_no,video_id,title,publishedat,channelid,channeltitle,categoryid,trending_date,tags,view_count,likes,comment_count
126,z6ep308goxQ,why japans internet is weirdly designed,2022-11-24,UCqVEHtQoXHmUCfJ-9smpTSg,answer in progress,Education,22.29.11,nerdyandquirkyanswerinprogresssabrina cruzkhanstopmetaha khanmelissa fernandesmehlizfernjapanjapaneseweb designinternet,1830721,98815,3915
134,q4DF3j4saCE,the most extreme explosion in the universe,2022-11-23,UCsXVk37bltHxD1rDPwtNM8Q,kurzgesagt  in a nutshell,Education,22.29.11,none,3878512,182070,7608
145,ZzVrBnKy-hM,5000 classic car auction challenge,2022-11-24,UCqWFLuBLPiaeNzYAek6BOmA,autoalex cars,Autos & Vehicles,22.29.11,none,389109,19149,1090
146,pPtbo5O2iIw,hopelessly devoted to you olivia newtonjohn tribute live from the 2022 american mus,2022-11-22,UCXJDX1KK6t121Z9FLhu5o2A,pinkvevo,Music,22.29.11,hopelessly devoted to you olivia newtonjohn tributepnkpoprca records label,2758986,83341,4143
152,5jJJYYaw8vw,lil baby ft nardo wick  pop out official video,2022-11-23,UCM1gEqLPsgej7ZKzu9w8v7A,lilbabyvevo,Music,22.29.11,lilbabynardowickpopoutqualitycontrolmusicmotownrecordshiphop,3109333,99705,3858
141,sbugCvsQ-0Q,grealish  foden no bounce challenge rice skill school  henderson on fire  inside training,2022-11-24,UCNT2e7Og56vm5_V-yJWvglA,england,Sports,22.29.11,jack grealishbukayo sakaengland footballengland traininggareth southgateharry kanephil fodenmason mountsaka englandthree lionsharry maguiremarcus rashfordengland training world cup 2022england training qatarengland training todayengland training sessionengland training shooting practiceengland training goalkeeperengland training shootingtrent alexanderarnolddeclan rice,1054508,18177,930
147,TLiOxUr-IMw,chelsea vs real madrid  uefa womens champions league 202223 matchday 3 full match,2022-11-23,UCxgii5f9u4YgXCeubCozbEA,dazn uefa womens champions league,Sports,22.29.11,daznuwclwomens champions leaguehighlightsstreamwatchfull matchchampions leagueuefauclwomens footballsoccergoalsliverecapsportfreewoso,188795,2498,28
140,vpXdXpDMYqA,dragon ball legends reveals  stuff legends festival edition,2022-11-24,UCqly9F4Fr_jf2Y1Cy5hacRg,bandai namco entertainment,Gaming,22.29.11,バンダイナムコバンナム876876tvbneバンダイナムコエンターテインメントbandainamcobannamばんなむばんだいなむこばんだいなむこえんたーていんめんとバンナムtvdragon ball legendsdragon balllegendsdokanndbdblvideo and stuffvideo  stuffvideostuffreveals  stuffrevealslegends festival,424547,0,0
142,PZShwWiepeY,how easily can you catch every pokemon in scarletviolet,2022-11-23,UCgluFk_59sS-hz8WdGuBX2g,johnstone,Gaming,22.29.11,pokemonjohnstonejohnstone pokemonjohnstone livejohnstone twitchpokemon scarlet and violetpokemon catch em allcatching every pokemon in scarletcatching every pokemon in violethow to get shiny charm in pokemon scarlet and violet,803218,17525,1469
143,9CZvw5PWI7k,becoming god in spore was a mistake  spore is a perfectly balanced game with no exploits,2022-11-24,UCRHXUZ0BxbkU2MYZgsuFgkQ,the spiffing brit,Gaming,22.29.11,thespiffingbritsporespore 2008video gamegamespore gamebecoming godspore godbecoming god in sporebecoming god in spore was a mistakespore is a perfectly balanced gamethe spiffing britgameplayspore gameplayspore 2spore challengefunnyspore funny momentsspore funnygame exploitglitchexploitoverpoweredgodspore cyborggroxally groxmemesignspore creaturelets play sporeperfectly balanced gamespore exploitspore glitchgames,1438855,78434,2512
150,O76YQ4MkMrM,pet imposter role in among us,2022-11-24,UCke6I9N4KfC968-yRcd5YRg,ssundee,Gaming,22.29.11,none,2071178,94402,3248
153,1rv6HuClfOI,we watched the emoji movie,2022-11-22,UC1o6smXb21IK3HV0yUcOFNg,memeulous,Comedy,22.29.11,the emoji movieemoji movieemoji movie reactionthe emoji movie reactionwe watchedwe watched emoji movie,512886,34606,1245
158,6sh2Ib3DklI,i tried walmarts terrifying metaverse experience,2022-11-22,UCSUf5_EPEfl4zlBKZHkZdmw,danny gonzalez,Comedy,22.29.11,danny gonzalezfunnycommentarycomedyreactreactionreactingawfulhumor,3201974,177115,10722
161,Ox16oYvEIe8,i tried to bowl two perfect games in a row in wii bowling,2022-11-22,UCuo9VyowIT-ljA5G2ZuC6Yw,eddy burback,Comedy,22.29.11,none,778185,52073,1757
144,XjGa_8fUU7g,house tour two years building my dream home,2022-11-23,UCFanrVWRodCwCw43U7KBAQg,saffron barker,Entertainment,22.29.11,saffron barkersaffron barker youtubeyoutube saffron barker,936959,29210,883
159,hkt-QrpZd7w,amelias cooking show  davide  ekinsu,2022-11-22,UCyQ-DUV6lZgoL8wiPusYiUg,amelia dimoldenberg,Entertainment,22.29.11,love island,275797,10879,281
149,VDsfO2b6_Hc,water cooling my house,2022-11-24,UCXuqSBlHAE6Xw-yeJA0Tunw,linus tech tips,Science & Technology,22.29.11,watercoolinglinus new housepool water coolingwhole room water coolingremote computerscooling my server roomdata center coolingusing my pool to cool a roomthermalssoft tubingradiatorpt cruiser radiator,1536213,63738,3877
177,k-U4ofLBhpc,richard hammond has bought the subaru impreza from the grand tour,2022-11-23,UChiwLDIBJrV5SxqdixMHmQA,drivetribe,Autos & Vehicles,22.29.11,jeremy clarksonrichard hammondjames maycarstop gearthe grand tourdrivetribethe stig,518037,17589,1985
166,jEdfjuG0Fx4,정국 jung kook dreamers  fifa world cup qatar 2022 opening ceremony,2022-11-21,UCLkAepWjdylmXSltofFvsYQ,bangtantv,Music,22.29.11,방탄소년단btsbangtan알엠rm슈가suga제이홉jhope지민정국kpop방탄jhopejung kookjiminbts vjin,42770760,2585617,98716
169,3V8aen7Flhs,nba youngboy  hi haters official video,2022-11-22,UClW4jraMKz6Qj69lJf-tODA,youngboy never broke again,Music,22.29.11,youngboy never broke againnba youngboyyoungboy quando rondoyoungboy leakmake no sense youngboyyoungboy lost motivesyoungboy nba music videoyoungboy never broke again topnba youngboy topyoungboy nba top album7ktt4_m09rw0c80bsgjb8mqchxuvxs8fadykycsutuo6mcsr65d9xcalimxh8c6syoungboy never broke again sincerely kentrellsincerely kentrellyoungboy nba sincerely kentrellsincerely kentrell albumybnba sincerely kentrellyb sincerely kentrellkentrell,3510456,196294,14990
165,wrpS9PpYF28,glazer confirms sale talks memphis to united in january man utd news,2022-11-24,UCMmVPVb0BwSIOWVeDwlPocQ,the united stand,Sports,22.29.11,jadon sanchosanchomanchester unitedman unitedman utdmanchester united tvthe united standunited standmanchester united newsmufcman utd newsunitedmanchester united transfer newstransferromanomanchester united previewcristiano ronaldovs manchester unitedgoldbridgeerik ten hagten hagronaldomark goldbridgeronaldo interviewglazersman utd up for saleman utd sale,141601,3895,344
182,DY6TMD3KREI,face off dillian whyte vs jermaine franklin,2022-11-21,UC7LReVje9aPB4B6XAsXX8WQ,matchroom boxing,Sports,22.29.11,matchroom boxingeddie hearnmatchroomboxinginterviewwhyte vs franklindillian whytewhyte face offdillian whyte vs jermaine franklinwhyte franklin,251494,3601,1659
173,0lNgFSPQbkw,infinite donations glitch  instant rewards community event with treasure coordinates,2022-11-23,UCl1M49CAo9u99gABBIqEgDQ,cheese forever,Gaming,22.29.11,destinydestiny2destiny 2d2pastuleo23cheesecheese forevercheeseforeverpastuleo 23beyond light,271387,6714,664
183,-4zJuOllXcY,i surprised david dobrik with a custom tesla,2022-11-22,UCR_J_SntqJh5eXw66d5hJxA,matthew beem,People & Blogs,22.29.11,mbeem10matthew beembeem teammatthew beamdaviddobrikdavid dobrikjason nashdoughbriks pizzadoughbriksdavid dobrik vlogsdavid dobrik vlog squadvlog squaddavid dobrik pizza restaurant reviewdoughbrikteslamy tesla flew off the grounddavids insane pizza launchcar tour of my new teslasurprising my best friend with a new teslasurprising my girlfriend with a new teslareturning davids tesladavid dobrik pizzalizza koshyheath hussar,628009,21624,1235
164,ytzSlBMUfwY,ikea in a nutshell,2022-11-22,UCSC6F-cM6_Xm3aJnHs6ZDVA,joeseppi,Comedy,22.29.11,joeseppijoseppiin a nutshellikea,937771,66178,4225
174,zRGLr9ZKznI,fear the furry,2022-11-22,UCNnKprAG-MWLsk-GsbsC2BA,flashgitz,Comedy,22.29.11,furry apocalypsefurry pitfurry diseasesonic gets cuckedflashgitzwarhammer 40kfurryfurryswarhammerfurry cartoonflashgitz furry,2207348,191459,13330
178,ruZm61M7ilY,the hardest thing ive ever had to do,2022-11-23,UCmraHp1nkUsFWLqR7SWToIg,jeff wittek,Comedy,22.29.11,jeffs barbershopjeff wittekvlog squaddavid dobrikbarberbarbershophaircutinterviewpodcasthowtotiktokjeffwitteksky divingsaddog diedemotionalfreddy chaseskydivingjustice you got the framing rightlogan pauljake paulimpaulsiveanderson silvamike majlakgeorge jankonelkboysnelksteve will do itandrew tatenervous nerf,371645,33244,1502
167,uo27SOh1EgQ,fine points cleveland gets the colbertsmallbizbump with help from ncis los angeles,2022-11-24,UCMtFAi84ehTSYSE9XoHefig,the late show with stephen colbert,Entertainment,22.29.11,the late showlate showstephen colbertsteven colbertcolbertcelebritycelebcelebritieslate nighttalk showcomediancomedycbsjokejokesfunnyfunny videofunny videoshumorhollywoodfamous,1272851,26022,1457
168,Kri06gbtViU,trying 100 tiktok food hacks in 24 hours,2022-11-23,UCilwZiBBfI9X6yiZRzWty8Q,faze rug,Entertainment,22.29.11,faze rugrugrugfazefazerug,2292796,81446,19857
170,a6HOuFwcmcE,i am alive heres what happened,2022-11-21,UCDBCCMlFD-hArPbWv38FINA,daz games,Entertainment,22.29.11,dazgamesdazwatchesdaz blackhorrorscarylaughcomedydaz gameshumordaz watchesamazing,1796641,131533,8002
171,W9rv7l1xUhE,i got a kitten weekly vlog,2022-11-21,UC9PodfZydKm8akexKRn_2bw,olivia neill,Entertainment,22.29.11,none,239340,8485,164
172,o5F8MOz_IDw,avatar the way of water  new trailer,2022-11-22,UCgjxQJ6TlKqhHax8742ZMdA,avatar,Entertainment,22.29.11,none,11143006,291165,11661
175,5gAAAOkqaxg,insane mountain bike downhill,2022-11-21,UCUaT_39o1x6qWjz7K2pWcgw,beast reacts,Entertainment,22.29.11,life hackscraftsslimedo it yourselfdiylifehacksdily projectsuseful thingshow toexperimentexperimentsdiy activitieshandcraftprankfunnychallengeprankssecretdiy slimelaughnewskillstrickstipsfun,6868747,206575,3844
181,DJHiXvEP_LQ,life update divorce and moving on,2022-11-23,UCPeWTX_SM61hJ7IWjy4bzNg,smokey glow,Howto & Style,22.29.11,smokey glowsmokey glow evolution ofsmokey glow charlessmokey glow divorcesmokey glow hannahsmokey glow life updatesmokey glow grwm,407099,29778,3279
185,A0sXK9ibX1M,getting my sausage dog puppy,2022-11-21,UC2cx2Zw0NIZgwqcvPuVg8wQ,flossie,Howto & Style,22.29.11,littlemissflossiemakeuptutorialrelationshipcouplegoalsweeklyvlogweekinthelifeofbasicboardingschoolsecretyoungteenagerfunnybaddiewig17get lit with mespotify playlisttipsy18get ready with meclubbingpartystorytime24 hourmcdonalds,117505,5286,178
179,sF9MrFyEF5E,i bought the two fastest cpus but im only keeping the winner,2022-11-23,UCXuqSBlHAE6Xw-yeJA0Tunw,linus tech tips,Science & Technology,22.29.11,amdintel13900kcore i9ryzen 97950xcpuprocessorhighendpc buildcomputer buildrtx 4090seasonic,1354882,54853,3620
0,R1DKOiGrE-o,Rashford and Foden fire England to victory against Wales  World Cup 2022,2022-11-29,UCW6-BQWFA70Dyyc7ZpZ9Xlg,BBC Sport,Sports,22.30.11,BBC|BBC Sport|Highlights|2022|world cup 2022|football|soccer|doha|qatar|qatar 2022|world cup|fifa world cup 2022|fifa|fifa world cup|england|wales|england 30 wales|england 30 wales highlights|marcus rashford|marcus rashford goals|marcus rashford freekick|phil foden|phil foden goals,584338,8524,1820
1,ohJrpHUoZ10,The Super Mario Bros Movie Direct  11292022 Second Trailer,2022-11-29,UCGIY_O-8vW4rfX98KlMkvRg,Nintendo of America,Film & Animation,22.30.11,adventure|fun|nintendo|Super Mario Bros Movie Direct|super mario bros movie|mario movie|super mario bros movie release date|mario movie release date,2413831,136524,10515
2,jaEhvWXmLyk,What went wrong with the Tube Map,2022-11-29,UCbbQalJ4OaC0oQ0AqRaOJ9g,Jay Foreman,Comedy,22.30.11,none,608227,40799,2540
