index,video_id,title,publishedat,channelid,channeltitle,category,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled
168319,sRj5C5-Iiqk,泥酔  編集合宿超高級ヴィラで男女お泊まり会したらいろいろ事故りすぎwwwwエスポ,2022-11-21,UC_SAYuk_q3bVo9mRh--3Lhg,くれいじーまぐねっと CrazyMagnet,Entertainment,2022-11-27,期限切れJK|くれまぐ|くれいじーまぐねっと,380538,10327,0,399,https://i.ytimg.com/vi/sRj5C5-Iiqk/default.jpg,false,false
168320,QprkSBUfCis,グリッドマン ユニバースGRIDMAN UNIVERSE特報　2023年3月24日金全国公開,2022-11-20,UCb-ekPowbBlQhyt7ZXPiu5Q,ぽにきゃんAnime PONY CANYON,Film & Animation,2022-11-27,ポニーキャニオン|アニメ,574212,0,0,906,https://i.ytimg.com/vi/QprkSBUfCis/default.jpg,false,true
168321,OnbivSLSk24,silent撮影中みんなに会いに大阪に行ってきましたスタイルブックお渡し会,2022-11-20,UCHi5HD9w9B-gI6Lbx43Rs7A,川口春奈オフィシャル はーちゃんねる,People & Blogs,2022-11-27,None,625404,10792,0,404,https://i.ytimg.com/vi/OnbivSLSk24/default.jpg,false,false
168322,ywErjLjmbfI,公式乃木坂工事中 387第4回 内輪ウケものまね大賞②20221120 OA,2022-11-20,UCfvohDfHt1v5N8l3BzPRsWQ,乃木坂配信中,Entertainment,2022-11-27,None,1141166,18067,0,1743,https://i.ytimg.com/vi/ywErjLjmbfI/default.jpg,false,false
168323,FcaQ92eAdNw,男女の友情崩壊ある人によって過去の全てが暴かれました青春しゅわしゅわクラブ,2022-11-19,UC1fYrot9lgMstv7vX0BnjnQ,かす,Entertainment,2022-11-27,None,846935,22285,0,419,https://i.ytimg.com/vi/FcaQ92eAdNw/default.jpg,false,false
168324,4z7lAKzBwu0, にじ遊戯王祭 迎えに来た勝利の女神が　大会本番  マスターデュエル ,2022-11-20,UCSFCh5NL4qXrAy9u-u2lX3g,Kuzuha Channel,Gaming,2022-11-27,葛葉|くずは|kuzuha|吸血鬼|にじさんじ|nijisanji|いちから株式会社|ichikara|Vtuber|anime|アニメ|japan|切り抜き|雑談|game|ゲーム|実況|歌ってみた|カバー|Nintendo,182430,4476,0,39,https://i.ytimg.com/vi/4z7lAKzBwu0/default.jpg,false,false
168325,qmmaoyoVF48,ポケモンSVのネット対戦がテラスタルのせいで凄いことになってしまっているポケモンSV実況,2022-11-21,UCENoC6MLc4pL-vehJyzSWmg,もこうの実況,Gaming,2022-11-27,もこう|ゲーム|ゲーム実況動画|ポケモンSV|ポケモン|スカーレットバイオレット|テラスタル|トドロクツキ,397185,4316,0,778,https://i.ytimg.com/vi/qmmaoyoVF48/default.jpg,false,false
168326,VyjI71jdoNI,SPYFAMILYフィオナ役キャスト解禁PV,2022-11-19,UC14Yc2Qv92DMuyNRlHvpo2Q,TOHO animation チャンネル,Film & Animation,2022-11-27,東宝|TOHO|anime|公式|オフィシャル|アニメ|Entertainment|配給|宣伝|キャラクター|声優,1457235,0,0,0,https://i.ytimg.com/vi/VyjI71jdoNI/default.jpg,false,true
168327,3zSfc4P8Wqg,学園祭ピアノドッキリ合唱部の幽霊部員が実はプロだったら廃部の危機を救えるんか byよみぃ銀河鉄道999ベテルギウスCITRUSetc,2022-11-19,UCZ3h7IyAMbrVgvmxTdj-rpA,よみぃ,Music,2022-11-27,ストリートピアノ|よみぃ|鬼滅の刃|ピアノ|弾いてみた|紅白|面白い|太鼓の達人|神動画|おもしろ|TikTok,798620,16322,0,373,https://i.ytimg.com/vi/3zSfc4P8Wqg/default.jpg,false,false
168328,EGqdYgxyuk8,穴が空いた茎の中に潜んでいるのは,2022-11-19,UCypYz0HzH-2oL7mdP-JK2yQ,おろちんゆー,Entertainment,2022-11-27,生き物|料理,888902,21906,0,2575,https://i.ytimg.com/vi/EGqdYgxyuk8/default.jpg,false,false
