index,video_id,title,publishedat,channelid,channeltitle,category,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled
168320,g1xIaHBzP48,30 CURIOSIDADES ACOJONANTES DE HARRY POTTER Y LA PIEDRA FILOSOFAL 2001,2022-11-22,UC8bCGC81i_jYlL041-iAFSA,JWulen,Gaming,2022-11-28,harry potter|harry potter curiosidades|30 curiosidades|30 curiosidades harry potter|hp|harry|detalles|10 cosas|30|jwulen|canal|30 curiosidades pelis|cosas que no sabias|easter eggs|harry potter cosas que no sabias|curiosidades harry potter|harry potter 1|harry potter y la piedra filosofal|el bananero|harry el sucio potter|el peluca|hagrid|el bananero harry potter|resumen pelis|resumen|te lo resumo|te la cuento|fedelobo|pelis|jk rowling|ron|hermione|snape,724103,89801,0,2245,https://i.ytimg.com/vi/g1xIaHBzP48/default.jpg,false,false
168321,h2O0XZQsXTw,LA MÁS DRAGA 5  Capítulo 09 LA MÁS LELE,2022-11-23,UCqwOmKcXJSQpGOrGAW7ircw,LA MÁS DRAGA OFICIAL,Entertainment,2022-11-28,la mas draga|1 tendencia|tendencia|trending video|tendencia 1|1 tendencia youtube mexico|tendencia mexico|youtube tendencias|1 tendencias en videos|tendencia 1 mexico|trend|1 trending video|trending 1|trending video 1|video tendencia 1|tendencia 1|la mas draga 5|1 tendencias en video|1 tendencia youtube|tendencias|1 tendencia mexico|tendencia 1|tendencia youtube 1|lmd5|1 tendencia youtube mexico|trending|tendencia 1 en mexico|tendencia1,519827,17482,0,1713,https://i.ytimg.com/vi/h2O0XZQsXTw/default.jpg,false,false
168322,Jm29kLeWqDA,Jung Kook from BTS performs Dreamers at FIFA World Cup opening ceremony,2022-11-20,UCpcTrCXblq78GZrTUTLWeBw,FIFA,Music,2022-11-28,Jung cook|BTS|Kpop|kpop|fifa world cup|fifa world cup opening ceremony|qatar opening ceremony|dreamers|jung cook dreamers|jung cook at world cup opening ceremony|jung cook performs dreamers|Fahad Al Kubaisi|fahad al kubaisi dreamers,30761091,1641075,0,69056,https://i.ytimg.com/vi/Jm29kLeWqDA/default.jpg,false,false
168323,BARRdNGX-Hk, Catar Vs  Ecuador  Los mejores momentos del partido  Mundial Qatar 2022  Por el 5,2022-11-20,UCRZSTf9laa2wkHPOaiOoldA,El 5,Entertainment,2022-11-28,Televisa|Canal 5|Series|programación canal 5|Caricaturas|La Jugada|Mundial|Copa del mundo|Qatar 2022|Mundial Qatar 2022|Inauguración|Morgan Freeman|Morgan Freeman aparece en la inauguración de Qatar 2022,1210447,9240,0,735,https://i.ytimg.com/vi/BARRdNGX-Hk/default.jpg,false,false
168324,titW09KghIo,Argentina 1 vs Arabia Saudita 2  Reacciones de Hinchas Argentinos  FURIOSOS  Qatar 2022,2022-11-22,UCt4G85FcJhTPMFIbZP_d4mA,GIANFRANCO MESA,Sports,2022-11-28,argentina vs arabia saudita|argentina vs arabia saudita qatar 2022|argentina vs arabia saudita horario|argentina vs arabia saudita vivo|argentina vs arabia saudita 2022|argentina vs arabia saudita mundial 2022|ARGENTINA VS ARABIA SAUDITA REACCIONES|LOS DISPLICENTES|GIANFRANCO MESA REACCIONES,404757,7172,0,3560,https://i.ytimg.com/vi/titW09KghIo/default.jpg,false,false
168325,xLTIbWlxZyc,ARGENTINA 1  2 ARABIA SAUDITA  Reacción desde Qatar  Mundial 2022,2022-11-22,UCj3ygUfAdUPlbaXrmjEYWfQ,Sebas,Entertainment,2022-11-28,SEBAS FIFA|REACCION ARGENTINA ARABIA SAUDITA|ARGENTINA ARABIA SAUDITA|ARGENTINA 1 ARABIA 2|SELECCION ARGENTINA|GOLES ARGENTINA QATAR 2022|MESSI QATAR 2022|REACCION FUTBOL|MESSI ARABIA|GOL DE ARABIA ARGENTINA,538908,7212,0,1193,https://i.ytimg.com/vi/xLTIbWlxZyc/default.jpg,false,false
168326,lvsCcDoYsNo,Conferencia de prensa Lionel Scaloni tras la derrota en el debut ante Arabia Saudita,2022-11-22,UCSmh3DFxBwFurMttT60PQ1g,DEPORTV,Sports,2022-11-28,deportv|deportes,274020,2655,0,1299,https://i.ytimg.com/vi/lvsCcDoYsNo/default.jpg,false,false
168327,9ArSYBXFPx8,Mexicanos armaron su discoteca en el metro de Qatar  ONCE Diario,2022-11-22,UCyz8BND9TRWBKEKl-u9q45A,Once Diario,Sports,2022-11-28,mexico en el mundial|mexicanos en qatar|caramelo aficionado|mexicanos hacen desmadre en qatar|qatar 2022|mexico qatar 2022|aficionados mexicanos,518811,4696,0,458,https://i.ytimg.com/vi/9ArSYBXFPx8/default.jpg,false,false
168328,D5TAskXMQV0,SE NOS PONCHÓ UNA LLANTA EN LA CARRETERA   Roier,2022-11-21,UC3gWLlG7mTnOS5KW9aM9fZQ,Roier,People & Blogs,2022-11-28,None,277861,33456,0,398,https://i.ytimg.com/vi/D5TAskXMQV0/default.jpg,false,false
168329,NEeTff3zvzU,BROMA TELEFONICA A EL MARIANA  SER EL REY DE QATAR,2022-11-20,UCn4smynZFlnwrKhu9zkxwWw,ElGaborever,Music,2022-11-28,comedia|diversion|podcast|futbol|seleccion|seleccion mexicana|deportes|podcast deportes|fiesta seleccion mexicana|futbol seleccion mexicana|liga mexicana|futbol en vivo|emilio hank|caliente mx|apuestas|apuestas deportivas|alvaro morales|espn|tv azteca|futbol mexicano|werever|werevertumorro|gabo|gabriel montiel|tudn|broma|broma telefonica|criss cross|criss martell|el mariana,474429,45483,0,1009,https://i.ytimg.com/vi/NEeTff3zvzU/default.jpg,false,false
