index,video_id,title,publishedat,channelid,channeltitle,category,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled
167240,xjy_SIas1WA,Natalie Jane  AVA Lyric Video,2022-11-18,UCSofeyaJWOs2rIuaWDDt6kA,NatalieJaneVEVO,Music,2022-11-22,Natalie|Jane|AVA|Lyric|Video|10K|ProjectsCapitol|Records|Pop|Natalie Jane|Natalie Jane AVA|Natalie Jane TikTok|Who the fuck is AVA|AVA tiktok song|natalie ava tiktok|natalie jane mentally cheating|natalie jane seven|little miss mentally cheating|natalie jane seven tiktok|mentally cheating|seven tiktok|crazy gnarls barkley cover|crazy natalie jane cover|crazy cover tiktok gnarls barkley|ceelo green crazy cover tiktok,652905,36161,0,676,https://i.ytimg.com/vi/xjy_SIas1WA/default.jpg,false,false
167241,j60fj8kkZ50,Notfall Einsatz des 7vsWild Medical Teams,2022-11-18,UCdTt6nTzvK96D6TDCGEBkSg,DAVE,Entertainment,2022-11-22,Dave|friedrich,1826993,97500,0,2049,https://i.ytimg.com/vi/j60fj8kkZ50/default.jpg,false,false
167242,bWkW5zsFkmk,Bundeswehr Härtetest für die Panzercrew  Die Nordreportage  NDR Doku,2022-11-17,UCTPAHk1b-h-WGQn9cfGlw2Q,NDR Doku,People & Blogs,2022-11-22,Armee|Ausbildung|Beruf|Bundeswehr|Doku|Dokumentation|Ernstfall|Krieg|Munster|Niedersachsen|Panzer|Politik|Reportage|Soldaten|Soldatinnen|Stützpunkt,783184,8717,0,1857,https://i.ytimg.com/vi/bWkW5zsFkmk/default.jpg,false,false
167243,Vp3vvfrr_0A,My Doctors Life  Tagebuch einer Ärztin die aussteigt  Close Up  Doku,2022-11-17,UCCljzsYpepeNeY-nKPBKnhA,hrfernsehen,News & Politics,2022-11-22,arzt|ärztin|ärztin werden|ärztin doku|ärztin aus leidenschaft|krankenhaus doku|krankenhaus in deutschland|krankenhaus doku 2022|pflegeberuf doku|arztberuf aufgeben|arbeitsbedingungen krankenhaus|arbeitsbedingungen|klinik alltag|klinikalltag doku|kranker klinikalltag|am limit|ärzte am limit|guten job aufgeben|fachkräftemangel in deutschland|fachkräftemangel branchen|fachkräftemangel 2022|pflegenotstand doku|gesundheitssystem deutschland|gesundheitssystem,343719,8348,0,1616,https://i.ytimg.com/vi/Vp3vvfrr_0A/default.jpg,false,false
167244,ThBgGkNDoTw,1986zig  Muss weh tun Offizielles Musikvideo,2022-11-17,UCtEI8wuUGSV-WsmE_i0__vA,1986zig,Music,2022-11-22,1986zig|1986|1986zig muss weh tun|das leben muss weh tun|zweite chance|1986 zweite chance|1986 album|1986 muss weh tun|Das leben muss weh tun 1986zig|1986zig 1986 weh tun|Goldraub|keine pause|valium|kontra k|bozza|Silbermond|Samra|Album release|tiktok maskenmann,178927,8975,0,465,https://i.ytimg.com/vi/ThBgGkNDoTw/default.jpg,false,false
167245,5k3JIhT8aMw,ich ERÖFFNE ein AUTOHAUS in GTA 5 RP iCrimax Customs,2022-11-19,UCaR5mgH9aZkswPQtjZ4DktA,iCrimax,Gaming,2022-11-22,fortnite|fortnite battle royale|fortnite update|fortnite new|fortnite legendary|fortnite win|victory royale|icrimax|fortnite icrimax|fortnite gaming|gta 5 rp|roleplay|gta 5 roleplay,297438,13948,0,1027,https://i.ytimg.com/vi/5k3JIhT8aMw/default.jpg,false,false
167246,Q_xpziVTS1U,The Official GENDER REVEAL of the Royalty Family,2022-11-19,UCja7QUMRG9AD8X2F_vXFb9A,The Royalty Family,People & Blogs,2022-11-22,The Royalty Family|Royalty Family|Andrea Espada|Family Friendly|Royalty|Royal Family|The Royal Family|Royalty Fam|The Royalty Fam|Realty Family|Roti Family|Family Vlog|royalty family challenges|royalty|royal|ferran|royalty house tour|Ali ferran|royalty gaming|royalty family|hide seek|baby|gender reveal|gender|reveal|royalty family gender reveal|royalty family baby|girl|boy|royalty gender,4069896,166549,0,37066,https://i.ytimg.com/vi/Q_xpziVTS1U/default.jpg,false,false
167247,N6MuFYERfeE,DARDAN x NIMO  ENDE Lyric Video,2022-11-17,UCqv9TYpXUAo-Qy_tOPPSUYg,Hypnotize Entertainment,Music,2022-11-22,Dardan|Hypnotize Entertainment|dardy luther king|dlk|telefon|mister dardy|sorry|rap|hiphop|deutschrap|6am|coco mama|facetime|hypnotize|range rover|genauso|ice|nimo|moonboys|moonboy|millionär|ende|modus mio|deutschrap brandneu|dardan nimo ende|dardan ende|nimo ende|dardan nimo|dardan nimo neuer song|dardan nimo neues lied|dardan neuer song|nimo neuer song|deutschrap songs|deutschrap lieder|neue deutschrap lieder,241488,8109,0,234,https://i.ytimg.com/vi/N6MuFYERfeE/default.jpg,false,false
167284,kCbNBoGH-1c,Haustour durch unsere WG   ViktoriaSarina,2022-11-19,UC8TkgoBWpKPb7VqSaUt8g5g,ViktoriaSarina,Howto & Style,2022-11-22,ViktoriaSarina|österreichische YouTuber|BFF Battle|Spring in eine Pfütze|BFF Challenge|Rosenhof|Flora Blue,141216,7718,0,1043,https://i.ytimg.com/vi/kCbNBoGH-1c/default.jpg,false,false
167248,KRDXjvf2ckw,Starker Bruno Portugiesen auch ohne CR7 in WMForm Portugal  Nigeria 40  Friendlies  DAZN,2022-11-17,UC-UQNye_z8EqecFJluZ1PxQ,DAZN Länderspiele,Sports,2022-11-22,Bruno Fernandes|Fernandes|Portugal|Nigeria|Portugal Nigeria|Portugal vs Nigeria|Portugal  Nigeria|vs|Portugal Nigeria 4 0|Portugal vs Nigeria 40|Portugal  Nigeria 40|Friendlies|Friendlies Highlights|Friendlies DAZN|DAZN Friendlies|DAZN|Highlights Friendlies|DAZN Highlights|DAZN Highlights Friendlies|Friendlies Highlights DAZN|DAZN Länderspiele,490829,8260,0,637,https://i.ytimg.com/vi/KRDXjvf2ckw/default.jpg,false,false
