trending_no,video_id,title,publishedat,channelid,channeltitle,categoryid,trending_date,tags,view_count,likes,comment_count
71,qXaI0mwercE,تابعت كل مباريات كاس العالم ال64 من الملعب اليوم 4,2022-11-24,UCwBGFE-r7YeFFHT7JmxWPgg,Osama Marwah I اسامة مروة,People & Blogs,22.30.11,حواسي|اكبر|لعبة|غميضة|مع|اليوتيوبرز|في|ملعب|افتتاح|كاس|العالم|قطر|استاد|عائلة انصالة|انس و اصالة|انس|اصالة|نارين عماره|نارين بيوتي|شيرين عماره|شيرين بيوتي|نور ستارز|غيث مروان|احمد النشيط|اسامة مروة|اوسي مروة| اكبر لعبة غميضة مع اليوتيوبرز في ملعب افتتاح كأس العالم|يوتيوبر|اختفيت|لمدة|100|اختفيت لمدة 100 ساعة|كأس العالم|قطر ٢٠٢٢|قطر 2022|كأس العالم قطر 2022|رقم قياسي|محمد عدنان|السعودية|سالم الدوسري|الارجنتين السعودية|تونس|كاس العالم 2022,1038341,75214,3007
72,yr_22BqfD1I,جربت أغلى تنظيف بشرة في مدينتي 400   صدمة,2022-11-20,UCUiC-QhzaBHg6dMc5SZ3fSw,Rawan Dash,Entertainment,22.30.11,none,541260,33863,1148
73,86dDKsyL750,صنعت أنا وخلودة أكبر لانش بوكس في العالم ووضعنا فيه أكبر أكلات في العالم,2022-11-24,UCigARRf_7r_XnexNxP5BW-g,Ranos Home رانو هوم,People & Blogs,22.30.11,لانش بوكس|أكبر لانش بوكس في العالم|أكبر أشياء في العالم|أكبر أكلات في العالم|أم وابنها|أنشطة عائلية|The biggest lunch box in the world|The biggest things in the world|The biggest food in the world|A mother and son|Family activity,1251667,40840,3819
74,R5nOsztGJpY,مفاجأة رنا رئيس اتخطبت على الهواء مع منى الشاذلي رد فعلها حكاية,2022-11-18,UCcucB5aJ0xmv5OEKQwzAUjw,معكم منى الشاذلي,Entertainment,22.30.11,معكم منى الشاذلى|برنامج معكم|منى الشاذلى|cbc|احتفالات سي بي سي|حفلات|Ma3komMona|برنامج منى الشاذلي|Mona Elshazely|برنامج منى الشاذلي على CBC|حلقات منى الشاذلى يوتيوب|منى الشاذلي ٢٠٢٠|معكم منى الشاذلي ٢٠٢٠,2264850,35350,1930
75,fy3jjN0D5iQ,Morgan Freeman kicks off the 2022 FIFA World Cup Opening Ceremony in Qatar  FOX Soccer,2022-11-20,UCooTLkxcpnTNx6vfOovfBFA,FOX Soccer,Sports,22.30.11,fox|fox sports|soccer|fox sports soccer|fox soccer|morgan freeman|Qatar|opening ceremony|2022 FIFA World Cup Opening Ceremony|2022 fifa world cup|fifa|world cup|speaker|world cup moments|celebrity|actor|sports ceremony|classic|United States|Germany|France|Argentina|Brazil|Spain|global game,2758947,45127,5287
76,CDwMk5cZNL8, اللي فاكر فاكر  كأس العالم في الخيبة,2022-11-19,UC8J_3JJ-Sjv7kUocEiEZcnQ,Peace Cake ,Comedy,22.30.11,بيس كيك|Peace Cake|بيس اوف كيك|رومانسية منسية|اللي فاكر فاكر|لماذا نحن هنا|امسك نفسك|يايا صافي|يايا صادي|حازم راغب|مروان إمام|محمد البرعي|عبدالرحمن مجدي|Yaya Safi|أستاذ حازم|محتوى عربي|صناع محتوى|يوتيوبر|Romanseya Manseya|Emsek Nafsak|Amsak Nafsak|Safi Yaya|Safy Yaya|Safy Romanseya|Yaya Romanseya|يايا|جميلات بيس كيك|حلقة أسماء أبو اليزيد|لاينات|لاينات رومانسية منسية|كاس العالم|الخيبة|اللي فاكر فاكر كاس العالم,676526,39758,1842
77,WN8dp4EUe-o,واخيرا تحدي القفز في الملعب الصابوني ,2022-11-25,UCi2pntVKiXpmrEIrZtiytjg,POWER Rakan,People & Blogs,22.30.11,power|شونق|باور|power sopfix|pwr|WeArePowr|power esports|POWER Moments|WeArePOWR|shongxbong|باور ابو فله|ناصر|باور شونق|power shong|سعد|باور سعد|باور ناصر|ميثك|باور ميثك|ابو فله|bmq|power abo flh|بور|powr|power esport|power swelyy|بدر|amongus|amoong|اليوم الوطني|ياسر موخ|m55|power ياسر موخ|yassir m55|power yassirm55|متجر باور|رشاش|توام|ردة قعل|راكان|راكان وريان|توأم|تحدي|c7|خشب|bandrita|بندريتا|اوبلز|اوسمز|Ahmad Aburob|ابو الرب|احمد ابو الرب,525014,50971,1004
78,Y6v0awT-cRk,المستحيــــــــــل ليس سعووووودي ومقابلة سامي الحابر  يوميات نصوحي في كأس العالم qatar2022  ح٢,2022-11-22,UCAIxr4DpLZH-Iih4mlbLjiA,Saba7o Korah  صباحو كورة,Sports,22.30.11,nsoo7y|نصوحي|صباحو كورة|saba7o korah|تحليل تكتيكي|تحليل مباراة|تحليل فني|ليفربول|سيتي|كلوب|بيب|جوارديولا|برشلونة|ميسي|ريال مدريد|رونالدو|كريستيانو|يوفي|كونتي|انتر|ميلان|سبيرز|مورينيو|انشيلوتي|عدنان|محمد|BEIN|صلاح|ارسنال|النني,660418,35840,1150
79,kwaom-CspXg,فرد جديد بعيلتنا  اخيرا رح ارتاح,2022-11-21,UCpr3OHATk39UBC4-enlNl-Q,Nour TV,Entertainment,22.30.11,noor tv|قناة نور|نور تيفي|فرد جديد بعيلتنا|مكنسة ديبوت|المكنسة الذكية|مكنسة ريبورت|مكنسة الريبورت الذكية|مكنسة وممسحة ريبورت|نور تي في تنظيف|Deebot x1 omni|مكنسة روبورت|مكنسة الروبوت|تجربتي مع مكنسة الروبوت|المكنسة الذكية الروبوت,550394,43468,1241
80,F70uqijj0lY,وش يصير اذا تحدينا بعض ناكل جميع الاحرف,2022-11-21,UCPGIpOrnHVEp3pDLiJTCEqQ,Zeeyad x,People & Blogs,22.30.11,شونق بونق فورتنايت|شونق|شونق بونق|باور|shongxbong|بونق|خشب|بندريتا|ابو فله|POWER,851487,75269,1130
