"","video_id","title","publishedAt","channelId","channelTitle","categoryId","trending_date","tags","view_count","likes","comment_count"
"10","ZwSbB73zQz8","a5rass  ana baree2  الأخرس  أنا بريء official music video","2022-11-26T15:30:07Z","UCkPvRLtdMjRu5t22foUmQQA","a5rass  الأخرس","10","22.29.11","a5rassana baree2أنا بريءالأخرسلا تسن السيفالأخرس بعد شوبعد شوbaad shuanghami sessionsأنغاميharagaak ghareebهرجعك غريبlahaliلحاليأخرساستنى شويlama tshofohaمحمد الاخرساحكولها اني منيحاخر خريفمين فينا اللي خاناخر كاسلساتني بجنبيالاخرس بعد شوسيلاويkan yama kanكان يما كانlesatni janbiakher kharifوبعد شوالأخرس حالات واتسجديد الأخرسsiilawyjordanred bull jukeboxalternative musicالاردنأغاني اردنيةشبكةchabaka","533272","38847","2458"
"11","H9N52UdcGJg","لعبة فري فاير لايت صدمتني","2022-11-27T11:25:06Z","UCJhAZAK6t92znGV9tMuy7eQ","ali omar","20","22.29.11","فري فايرعلي عمرحرق الحضناتعلي عمر حرق احداثتحدي علي عمرالفوز في ايفونخدع فري فايرقصص علي عمرali omarfree fireاقوى تحدياتتحدي الفوز من اول كيمالعاب فري فايرتحديات علي عمرعلي عمر شرح حدث الجديدتجربة فري فاير الجديدةتجربة تحديث الجديدشاهد علي عمر يجرب تحديث الجديداخيس لعبةاجمل لعبةخريطه ترفع الضغطنسخه الجديدة تخليك تحذف فري فايراحداث فري فايرشرح العبه الجديدةاشياء جديدة نزلت في العبهرائي علي عمر في فري فاير الجديدة","180556","26390","2327"
"12","8oqZ9lGRg7o","تحدي الثلاثين نسخة كأس العالم سليمان عبدالغفور يواجه محمد الصراف","2022-11-25T15:36:53Z","UCqe2V_eejw-b5SeOw63TQNw","m12 alfouzan  قدم الكرة","17","22.29.11","مساعد_الفوزانكأس_العالمقطرالسعوديةتونسمصرالجزائرالمغربتحدي_الثلاثينقدم_الكرةميسي","560038","57360","874"
"13","pHbLXZThxY8","من 001 الى كأس العالم قطر في 30 يوم اليوم 26","2022-11-28T11:07:24Z","UC4kb-WfHhIQoKyd6ixL9kWw","كمستكا","20","22.29.11","none","592034","64602","2387"
"14","s-9_LJ8AaKk","اشترينا ٥٠٠ حبة اندومي  عملنا اكبر كوب اندومي في العالم","2022-11-25T11:45:00Z","UCTWc7oJ0d7lAXHDlbdO0gfA","el twins  التوينز","23","22.29.11","el twinsdaba7enمقالب التوينزمياة ساقعةالدباحينتحديات الدباحينمقالب المياة الساقعةرامي وجرجس جديدمقلب في اخويامقلب في اخيتحدياتمرحممتعضحكاندومينودلزاكبر اندومياندومي كوريnoodlesاندومي حارخلطت جميع انواع الاندوميالرامن الكوريالاندومي الكورياحر نودلزاحر اندومي في العالمتجربة اكل الاندومي الكوريجميع منتجات النودلز الكوريةتحدي النودلز الكوريتحدي الاندومي الكوري","843565","78489","1845"
"15","_JLRiAf_W6E","سورة الكهف القارئ الشيخ ماهر المعيقلي surat al kahf full","2022-11-25T11:38:04Z","UCaZEQtIQkmaWnj3dPeYw9xA","salam  سلام","10","22.29.11","none","538378","3819","150"
"16","A9UtA92siBo","أول مرة نجرب الكرفان في البر  دخل علينا فجأة","2022-11-25T15:29:14Z","UC7loSNYw43oSTLlThtm_Ytw","قناة سعود saud channel l","24","22.29.11","فلوقتحديكشتةسعودكرفانابو محمدsaudsaud channelsaud brothers","2075132","137610","3852"
"17","KdwretB2-7Q","أول تعليق من محمد ناصر على فوز المغرب وموقف اللاعب أشرف حكيمي المؤثر بعد تقبيل رأس والدته","2022-11-27T21:24:36Z","UC822umWD6D8sSq9ikXf5nsw","القناة الرسمية للإعلامي محمد ناصر","22","22.29.11","المغرب بلجيكامحمد ناصرمكملينبرنامج مصر النهاردةالحلقات الكاملة مصر النهاردةمحمد ناصر بث مباشرالإعلامي محمد ناصرناصر مكملينمصر النهاردةكأس العالم مباشركأس العالم قطر 2022 مباشرأشرف حكيمي اليومأشرف حكيمي وزوجتهالمغرب وبلجيكا 2022فوز المغرب على بلجيكافوز المغرب بكأس العالمفوز المغرب اليوممونديال قطر 2022 بث مباشركأس العالم 2022","240516","9653","809"
"18","MuPX0r6XDPk","المنتخب القطري وشيء لم يحصل في تاريخ كأس العالم","2022-11-26T20:17:43Z","UCxUPU7lI249SW_j5WgByJRA","محمد عدنان mohamad adnan","17","22.29.11","محمد عدنانmohamed adnanmohamad adnanكاس العالمكأس العالمfifaworld cupقطر 2022كاس العالم قطرالمانياالبرازيلمنتخب الارجنتينargentinabrazilspainبلجيكاقطر الاكوادورالمنتخب السعوديالسعوديةميسيرونالدوالبرتغالفرنساالارجنتينهدفملخصتحليلمباراةكريستيانونيماراهدافقطرمنتخبقطر السنغالالبرتغال غاناكريستيانو رونالدورونالدو ركلة جزاءhighlightsالمنتخب القطريالسعودية بولنداهدف قطرمنتخب قطرلاعبين قطرلاعب قطرالشيخ تميم","1604259","225559","4953"
"19","H9TSp1p-gkg","ماين كرافت ولكن كل شيء يحاول يقتلنا","2022-11-25T15:00:23Z","UCnhrJ6_Y4hq-iEP80pUr1Cw","haiperexe","20","22.29.11","none","317155","20881","521"
"20","HjOP5be83Jo","كواليس مباراة السعودية و الأرجنتين  22 نوفمبر 2022 يوم لا ينسى","2022-11-24T19:56:10Z","UCSSHK4M_OXOCtrAqbgvUHnw","المنتخب السعودي","17","22.29.11","السعوديةالأرجنتين","2343762","86461","5587"
"21","0dwGc59exs4","شحنت 150 الف  لتفتيح لبسة وتطوير الاوم  pubg mobile","2022-11-27T02:30:07Z","UCjf3ZSi7xMu8O9frZZ8FEGg","أتروatro","20","22.29.11","ببجيبوبجيببجي موبايلpubg mobileتحالفافضل لاعب في ببجي موبايلصناديقفتح صناديق ببجيكمينفتح صناديقمقلببابجياتروتثبيت سلاحمحترففلوسبلاشمجانيشرحاربيتحديثشداتتحدياتروماتبث ببجيببجي سعوديةببجي عراقببجي عربيببجي سوريببجي جزائريببجي مغربيإيفانجيليوناقوى لاعب ببجياسرع لاعب في ببجيقناص ببجيتيكتوكتيك توكاقوى لاعب في ببجياشهر لاعب في ببجيtrendترندtiktokقنصاغاني عراقيةاغنية تيكتوكمشهوراسرع لاعب ببجيمحاكيايبادكيف","347533","55561","3943"
"22","O8yZZF7Qh5A","جربت أغرب وصفات أكل المتابعين  2022","2022-11-25T11:35:25Z","UCjxtmM9Zb5eCu9W_IL8R8XA","malak tube","22","22.29.11","هيا ومرامملاك تيوبهياملاكمراموصفات اكلاغرب وصفات اكلوصفات المشتركينوصفات المتابعيناغرب وصفات المشتركيناطيب وصفات اكلوصفات اكل غريبة","215159","16035","520"
"23","IIgY372dht4","رونالدو ورقم قياسي جديد  وهذا هو أجمل هدف في كأس العالم","2022-11-25T21:09:51Z","UCxUPU7lI249SW_j5WgByJRA","محمد عدنان mohamad adnan","17","22.29.11","محمد عدنانmohamed adnanmohamad adnanكاس العالماسبانياكأس العالمfifaسويسراسيربيااجواء كاس العالمworld cupقطر 2022كاس العالم قطرالمانياكنداuruguayالبرازيلمنتخب الارجنتينargentinabrazilspainبلجيكاقطر الاكوادورالمنتخب السعوديالسعوديةميسيرونالدوالبرتغالفرنساالارجنتينسواريزسونهدفملخصتحليلمباراةكريستيانونيماراهدافقطرمنتخبالبرازيل صربياقطر السنغالالسعودية بولنداالبرتغال غاناكريستيانو رونالدورونالدو ركلة جزاءhighlights","1790933","258018","4356"
"24","FanGaRFeumA","أكل شوارع كأس العالم في قطر  كنافة في المونديال","2022-11-25T08:30:02Z","UCl3dlJdgwqcQLO77OVabKNg","basil elhaj باسل الحاج","22","22.29.11","none","346080","15795","475"
"25","aS-Y-mLIWZ8","ما اقدر اروح لكأس العالم","2022-11-25T17:08:31Z","UCqq5n-Oe-r1EEHI3yvhVJcA","aboflah","24","22.29.11","أبوفلهفلهgamesالفلاويهقيمزaboflahحسنأكبر صانع محتوى قيمنقتحديتحديات2022قصةكأس العالم","3228943","433338","19882"
"26","1iWTl8DM7Rg","maher zain  humood  tahayya  world cup 2022  ماهر زين و حمود الخضر  تهيا","2022-11-23T16:00:07Z","UCBq5hp6DvwWam2XOXw6lYJA","awakening music","10","22.29.11","world cup songworld cup song 2022maher zainmaher zain songshumoodماهر زينqatar world cup songاغنية كاس العالم 2022world cup musicحمود الخضرmaher zain world cuphumood world cupmaher zain newتهياtahayyaماهر زين وحمود الخضرهيا هيا كاس العالمتهيأ حمود الخضرهيا هياhayya hayyaحمود الخضر وماهر زين2022 fifa world cupfifa 2022 songاغاني كاس العالم قطر 2022tahayya maher zainحمود الخضر كاس العالماغانيfifa world cup 2022 song","11478623","269147","15993"
