,video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled
168291,H4GQIoZ5Dkg,Tiny Deadlocked Vise  Restoration,2022-11-22T09:51:41Z,UCMrMVIBtqFW6O0-MWq26gqw,my mechanics,Education,2022-11-27T00:00:00Z,my mechanics|Tiny Deadlocked Vise  Restoration|best restoration|asmr for men|perfect restoration|cast iron welding|stick welding|how to|diy|mig welding|gressel|bench vise restoration|hot and cold bluing|sandblasting|rust remover|filing steel|thread repair|cutting threads|scotch brite|painting 2k car paint|rust protection|manual machining|lathe work|milling machine|center drill|plug welding,572259,38084,0,2179,https://i.ytimg.com/vi/H4GQIoZ5Dkg/default.jpg,False,False
168292,7rJejXDlUNM,Geburtstag mit der Familie  den üblichen Verdächtigen,2022-11-20T17:00:04Z,UCSjvKfC6yHvcC_zuwTEB8zQ,Christian Eckerlin,Sports,2022-11-27T00:00:00Z,mma|christian eckerlin|kampfsport|muskelaufbau|ernährung|schlägerei,150179,6219,0,271,https://i.ytimg.com/vi/7rJejXDlUNM/default.jpg,False,False
168293,0-5Kdf1mMvs,XXL Looping Louie mit 10m  Durchmesser  Kliemannsland,2022-11-20T18:00:00Z,UCLKPfqBGqL4gaEvegb_If0Q,Kliemannsland,Entertainment,2022-11-27T00:00:00Z,Fynn|Kliemannsland|Fynn Kliemann|Brian Kliemannsland|DIY|Heimwerken|selber bauen|Looping Louie|XXL Looping Louie|Trinkspiel|Partyspiel|Feierspiel|Party|Dorf|Kinderspiel|Saufspiel|Saufen|XXL|Festival|Veranstaltung|Event|Antrieb|Antriebsmotor|Antriebswelle|Spiel|Looping Lui,91437,3557,0,220,https://i.ytimg.com/vi/0-5Kdf1mMvs/default.jpg,False,False
168294,a6EWIh2D1NQ,Hacking a weird TV censoring device,2022-11-21T16:12:25Z,UCS0N5baNlQWJCUrhCEo8WlA,Ben Eater,Education,2022-11-27T00:00:00Z,None,905791,45459,0,3803,https://i.ytimg.com/vi/a6EWIh2D1NQ/default.jpg,False,False
168295,eb-jeJ5rkqM,YouTube Kacke über 7 vs Wild   Tim Jacken Reaktion,2022-11-20T15:00:19Z,UCthETvVh6AvD7Qou_sc-qYA,inNOVAtiv,Entertainment,2022-11-27T00:00:00Z,nova|starletnova|antonia|onpoint|stream highlights|twitch|reaktion|nova reaktion|nova reagiert auf|starletnova reaktion|7 vs wild|fritz meinecke 7 vs wild|7 vs wild|fritz meinecke|reaktion auf 7 vs wild|nova reagiert auf 7 vs wild|7 vs wild behind the scenes|7 vs wild panama|7 vs wild starletnova|nova 7 vs wild|starletnova 7 vs wild|tim jacken|tj tim jacken|tjs wochenshow|wochenshow|TJs|youtube kagge|sasha huber|knossi|sabirna outdoor|joris|otto,456314,23826,0,201,https://i.ytimg.com/vi/eb-jeJ5rkqM/default.jpg,False,False
168296,7PYTGfpjEmk,Guitarist BLOWS MINDS on OMEGLE with perfect pitch,2022-11-22T01:30:01Z,UCPKgIhTC3BdkAwMw6s-GEug,TheDooo,Music,2022-11-27T00:00:00Z,playing|guitar|for|girls|tik tok|memes|meme songs|memes 2020|singing|piano|girl on omegle|omegle trolling|tiktok songs|try|not|to|laugh|reactions|omegle prank|omegle funny moments|omegle girls|ometv|guitar on omegle|hot girls omegle|meme songs on omegle|meme songs 2020|tik tok meme songs|omegle|funny|moments|metal|shred|solo|omegle piano|playing guitar on omegle,1857276,123415,0,7392,https://i.ytimg.com/vi/7PYTGfpjEmk/default.jpg,False,False
168297,J3Jx1zvcrIA,Wenn die WM in KATAR startet,2022-11-20T10:00:09Z,UCwCpW0IbR0Z2WJryfENq7jw,Phil Laude,Entertainment,2022-11-27T00:00:00Z,phil|laude|vong|der|niceigkeit|bims|larry|donge|sheesh|amk|dab|ibims|reingschaut|reingeguckt|lauch|phillaude|ytitty|ytitti|ytitty|ytiti|ytity|wm|wm 2022|wm modus|straßenumfrage|umfrage|strassenumfrage|streetcomedy|katar|wm katar|funny|funny videos|funny fails|funny video|comedy|comedy videos|best comedy|phil laude|alman phil laude|phil laude alman|alman|Deutschland|Weltmeister|Weltmeisterschaft|fifa,593313,33387,0,737,https://i.ytimg.com/vi/J3Jx1zvcrIA/default.jpg,False,False
168298,CBPZapIh4MQ,Need for Speed Unbound  Speed Race Gameplay,2022-11-21T15:59:02Z,UCXXBi6rvC-u8VDZRD23F7tw,Need for Speed,Gaming,2022-11-27T00:00:00Z,Need for Speed Unbound|nfs unbound|Need for Speed|nfs unbound gameplay|nfs unbound trailer|Need for Speed trailer|NFS|unbound|need for speed 2022|nfs 2022|Need for Speed Unbound Gameplay|Need for Speed Unbound racing gameplay|Need for Speed gameplay|NFS gameplay|Nfs unboundeed for Speed gameplay trailer|AAP Rocky|Need for Speed AAP Rocky|Need for Speed Heat|Need for Speed Payback|Need for Speed Most Wanted|Need for Speed Hot Pursuit|Need for Speed Rivals,529300,21104,0,2828,https://i.ytimg.com/vi/CBPZapIh4MQ/default.jpg,False,False
168299,kmBnnzuIjWk,DUBAI URLAUB MIT SIDNEY JORDAN  CO  TAG 2   NiklasWilson,2022-11-19T15:45:02Z,UCI5HTzsSA86P3GHO0Fm5gog,Niklas Wilson,Gaming,2022-11-27T00:00:00Z,willy|niklas|wilson|sidney|jordan|dubai|vlog,335593,28784,0,307,https://i.ytimg.com/vi/kmBnnzuIjWk/default.jpg,False,False
168300,faZV0upJJBQ,Mein Baby wird 2 Jahre alt  Geburtstagsparty  Paola Maria,2022-11-20T13:00:33Z,UCujETSjecFWexps5-YkCmZA,Paola Maria,Entertainment,2022-11-27T00:00:00Z,paola|maria|beauty|family|familie|vlog|lifestyle|mode|baby|mama,51505,2582,0,128,https://i.ytimg.com/vi/faZV0upJJBQ/default.jpg,False,False
168301,hwz575b865U,7 vs Wild Panama  Fritz am Ende  Folge 5,2022-11-19T17:00:35Z,UCSyAFJ6cmgYabA0RfPCNuzA,Fritz Meinecke,Travel & Events,2022-11-27T00:00:00Z,7 vs Wild Panama  Fritz am Ende | Folge 5|7 vs wild staffel 2|7 vs wild 5|7 vs wild panama|7 vs wild panama staffel 2|7 vs wild fritz|7 vs wild fritz am ende|fritz am ende,6863577,291940,0,16111,https://i.ytimg.com/vi/hwz575b865U/default.jpg,False,False
168302,fy3jjN0D5iQ,Morgan Freeman kicks off the 2022 FIFA World Cup Opening Ceremony in Qatar  FOX Soccer,2022-11-20T16:03:30Z,UCooTLkxcpnTNx6vfOovfBFA,FOX Soccer,Sports,2022-11-27T00:00:00Z,fox|fox sports|soccer|fox sports soccer|fox soccer|morgan freeman|Qatar|opening ceremony|2022 FIFA World Cup Opening Ceremony|2022 fifa world cup|fifa|world cup|speaker|world cup moments|celebrity|actor|sports ceremony|classic|United States|Germany|France|Argentina|Brazil|Spain|global game,2735856,44841,0,5260,https://i.ytimg.com/vi/fy3jjN0D5iQ/default.jpg,False,False
168303,l28UE9aHGeI,REALISTISCHES TRYMACS BILD IN MINECRAFT CRAFT ATTACK 10,2022-11-21T15:17:47Z,UCjWRJLzFyfJoPBMLs82DjJg,NQRMAN,Gaming,2022-11-27T00:00:00Z,None,106204,10328,0,257,https://i.ytimg.com/vi/l28UE9aHGeI/default.jpg,False,False
168304,r7w_MSjQ3gg,In 7 Tagen zum ProGamer Selbstexperiment,2022-11-20T15:01:00Z,UCNCktfoFAXtXnMlhjyc9SPA,tomatolix,Education,2022-11-27T00:00:00Z,tomatolix|Reportage|Dokumentation|Doku|Selbstexperiment|Selbstversuch|Experiment|Test|Gaming|MSI|Esport|Turnier|Streamer|Twitch|Pro Gamer|Tomatolix|ProfiGamer|ESport|Overwatch 2|Shooter|Aimtrainer|Aim,294007,17052,0,831,https://i.ytimg.com/vi/r7w_MSjQ3gg/default.jpg,False,False
