,video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled
168131,4ucEjKpSHko,HOUSE TOUR  nuestro nuevo hogar,2022-11-19T19:10:56Z,UCCuwqurrixDw7QifKz95UnQ,Isalia Gómez,People & Blogs,2022-11-27T00:00:00Z,None,239686,19039,0,1122,https://i.ytimg.com/vi/4ucEjKpSHko/default.jpg,False,False
168132,EF7tw5SHKdw,Reuní 4 Influencers para Enfrentar al ZOMBIE MÁS PELIGROSO,2022-11-19T22:08:39Z,UCppYRRwAZlht-ePFicc11Eg,KRECK 20,Gaming,2022-11-27T00:00:00Z,freefire,834552,29885,0,749,https://i.ytimg.com/vi/EF7tw5SHKdw/default.jpg,False,False
168133,ahcAoTnngqA,ME CASO EL OTRO AÑO,2022-11-19T21:41:29Z,UCDQFWbUdOvutmihdiI9kyRw,SoyAraceli,Entertainment,2022-11-27T00:00:00Z,None,199505,0,0,247,https://i.ytimg.com/vi/ahcAoTnngqA/default.jpg,False,True
168134,P92SU9FVecU,SE ENOJARON MAL POR LO DE ALEXIS MAC ALLISTER  QUE DIJO LA FIFA SOBRE BOCA JUNIORS ,2022-11-20T14:43:27Z,UCDVPddFTlW1KIz2eIH_JIyg,SUPER BOCA TV,Sports,2022-11-27T00:00:00Z,None,437841,2469,0,47,https://i.ytimg.com/vi/P92SU9FVecU/default.jpg,False,False
168135,t3sdETCD-l4,Viví 7 Días en la Base Secreta de mis Enemigos para Vengarme,2022-11-19T20:00:15Z,UCyDUULOp3b3JsehZKIIVzrg,Jardred,Gaming,2022-11-27T00:00:00Z,jardred|jarded|jadred|mcjardred|minecraft jardred|jardred minecraft|Destruí el Servidor de Minecraft de mi Hermano|minecraft|Viví Escondido en la Base Secreta de mis Enemigos para Vengarme|vivi|escondido|en|la|base|secreta|de|mis|enemigos|base secreta|base secreta minecraft|7 dias|100 dias base secreta|minecraft 100 dias base secreta|minecraft raideos|raideos|raideos en minecraft|vivi escondido en la base secreta de mi enemigo|vivi escondido|escondido base secreta,501762,25358,0,779,https://i.ytimg.com/vi/t3sdETCD-l4/default.jpg,False,False
168136,yULDjzCb0HM,TENGO UNA CITA ROMÁNTICA CON MI EX,2022-11-19T16:33:21Z,UCoc-rA_iPLMnpkg7BppXwCg,Yess SKabeche,Entertainment,2022-11-27T00:00:00Z,SKABECHE|ESCABECHE|MAS ESCABECHE|MAS SKABECHE|HERMANA DE BRYAN Y EDDY|YESSERICK|ERICK LINDORO|SKUAD|NOVIO DE YESS ESCABECHE|JESS SKUAD|CITA ROMÁNTICA|JUGAMOS UN PARTIDO DE FUTBOLTO GIGANTE|OWEN Y TACO|CONSTRUIMOS UNA CASA DE TERROR EN UN PARQUE DE DIVERSIONES|LE ORGANICE UNA CITA A MI MEJOR AMIGO CON LA GEMELA DE MI HERMANA|FEDE VIGEVANI|LE DIGO QUE SI A TODO A MI EX POR UN DIA|FEDE VIGEVANI CITA CON EX DE ANTRAX|FEDE VIGEVANI SALE CON SCAR,218252,13836,0,425,https://i.ytimg.com/vi/yULDjzCb0HM/default.jpg,False,False
168137,yP5VmGZVpz8,Race Highlights  2022 Abu Dhabi Grand Prix,2022-11-20T15:30:40Z,UCB_qr75-ydFVKSF9Dmo6izg,FORMULA 1,Sports,2022-11-27T00:00:00Z,F1|Formula One|Formula 1|Sports|Sport|Action|GP|Grand Prix|Auto Racing|Motor Racing,4165977,91211,0,3685,https://i.ytimg.com/vi/yP5VmGZVpz8/default.jpg,False,False
168138,m4uyGSIBlkU,Catar 2022 los 89 datos más inesperados,2022-11-19T22:00:26Z,UCdwdFOhBP9CoAOlHDTmTxaw,Un Mundo Inmenso,Travel & Events,2022-11-27T00:00:00Z,qatar|mundial|fútbol|fifa|messi|argentina,649128,38174,0,1685,https://i.ytimg.com/vi/m4uyGSIBlkU/default.jpg,False,False
168139,XJ9xyvB0Ci8,Espectacular ceremonia de inauguración del Mundial de Qatar 2022,2022-11-20T18:18:05Z,UCqfCJBfrFSO4tZM1LNZTBFQ,MARCA Claro,Sports,2022-11-27T00:00:00Z,Deportes|Videos de deportes|MARCAClaro|MARCA Claro|Noticias de deportes|Claro Sports|qatar|mundial|ceremonia mundial|ceremonia qatar|inauguaracion|copa del mundo|ceremonia copa del mundo|seleccion|mundial hoy,1548330,5442,0,318,https://i.ytimg.com/vi/XJ9xyvB0Ci8/default.jpg,False,False
168140,S5TtMHwtfN8,LE FALTO el RESPETO a BARBIE y DONATO ME TERMINA GOLPEANDO termina muy mal,2022-11-19T01:24:36Z,UCXH1p4gixwXwrUGSx-WvLNQ,Yair17,Gaming,2022-11-27T00:00:00Z,Yair17,621638,51372,0,1121,https://i.ytimg.com/vi/S5TtMHwtfN8/default.jpg,False,False
168141,OtlmEDkSVOk,La Forma En Que Me Miras,2022-11-17T19:34:56Z,UCzjcoe1imbEiZQAA32csbQg,Super Yei  Topic,Music,2022-11-27T00:00:00Z,Super Yei Ft Myke Towers|Sammy|Lenny Tavárez|Rafa Pabón|Jone Quest La Forma En Que Me Miras,1004884,10979,0,0,https://i.ytimg.com/vi/OtlmEDkSVOk/default.jpg,False,False
168142,94iZsCYK1NE,Tengo cáncer otra vez ahora pelearé por mis bebés,2022-11-19T20:00:10Z,UCnqnWxzdeypw4GibE4r5Yig,Reymarqueza,People & Blogs,2022-11-27T00:00:00Z,None,370736,14537,0,2641,https://i.ytimg.com/vi/94iZsCYK1NE/default.jpg,False,False
168143,hUpBApe-JI8,AUNQUE ME DIGAN VENDIDO  FACUNDO,2022-11-18T20:16:11Z,UCnqUGyxqrN9C4olFFf6XNJw,Facundo,Comedy,2022-11-27T00:00:00Z,facundo|humor|chistes|videos cortos|humor negro|facundo gomez|facundidades|facundo viajes|Facundo|facundo vacaciones|facundo luisito comunica|facundo y el babo|hija de facundo|hijos facundo|viaje a|qatar|qatar 2022|mundial qatar|mundial|catar|facundo mundial|televisa mundial|facundo televisa,467858,10732,0,601,https://i.ytimg.com/vi/hUpBApe-JI8/default.jpg,False,False
168144,VUTCommVuvU,Jaziel Avilez Codiciado Peso Pluma  Ando Enfocado Video Oficial,2022-11-18T05:00:07Z,UCcKdDdipNwHi8rs2034bpxg,Golden Ink Entertainment,Music,2022-11-27T00:00:00Z,Golden Ink|jaziel avilez|fuga|l prince|jaziel|aviles,1197410,38561,0,606,https://i.ytimg.com/vi/VUTCommVuvU/default.jpg,False,False
168145,KzDyTNGL1M8,Quién te conoce mejor MADRES vs MEJOR AMIGO  Ducktape,2022-11-14T02:00:09Z,UCHyigmVPulxOhYPnDt8MXKQ,DuckTape,Entertainment,2022-11-27T00:00:00Z,Duck Tape|comedia|latino|friends|amigos|trending|viral|animation|Humor|republica dominicana|videos de risa|videos graciosos|reto|novios|ex novios|juegos|retos|challenges|familia|toda la familia|divertido|tiktok|verdad o shot|amistades|mejores amigos,131734,8566,0,148,https://i.ytimg.com/vi/KzDyTNGL1M8/default.jpg,False,False
168146,cu3Q1ycGhLI,Lefty SM  Corriendo Peligro,2022-11-19T00:00:08Z,UCQFmPWnstWJ5LMwRmsK34Vg,LEFTY SM OFICIAL,Music,2022-11-27T00:00:00Z,alzada|alzada films|casa alzada|familia alzada|los de alzada|rap|trap|raptrap|rap trap|rattrap records|rap trap records|latino|latina|urbana|urbano|músico|hip hop|hiphop|música|los de alzada camarada|volando|ando al millón|lefty mi plebada|mi plebada|lefty sm mi plebada|lefty regional|lefty corridos|corridos|quién no llora|Lefty SM Corriendo Peligro|Corriendo Peligro|Corriendo Peligro Lefty SM,357365,19976,0,535,https://i.ytimg.com/vi/cu3Q1ycGhLI/default.jpg,False,False
